fbid,mother_tongue,locality,occupation,age,pages_liked_1,pages_liked_2,pages_liked_3,gender,marital_status,education_school,education_college
100016,Spanish,en_US,Dentist,24,A.P.J Abdul Kalam,MS Dhoni,Shopmania,F,Married,Oxford School,Amity
100017,German,en_UD,Computer Engineer,23,J.K Rowling,Terrible Tiny Tales,MS Dhoni,F,single,Mount Carmel,MIT
100018,Portugese,en_UD,Civil Engineer,25,Narendra Modi,Terrible Tiny Tales,J.K Rowling,M,Married,Indraprastha School,Delhi technological University
100019,Hindi,cx_PH,Neurologist,40,MS Dhoni,Shopmania,Narendra Modi,M,Married,Oxford School,Maharaja Surajmal
100020,German,cx_PH,General Physician,36,Shopmania,A.P.J Abdul Kalam,Terrible Tiny Tales,F,Married,Indraprastha School,MIT
100021,Spanish,cs_CZ,Business Man,30,MS Dhoni,Mitacs Globalink,Silicon Valley,M,Married,Indraprastha School,Maharaja Surajmal
100022,Hindi,cy_GB,Civil Engineer,36,Narendra Modi,Disha Patani,J.K Rowling,M,Married,Neo Convent,Maharaja Surajmal
100023,English,cy_GB,Teacher,20,Mitacs Globalink,Vidyamandir Classes,Disha Patani,F,single,Oxford School,Maharaja Surajmal
100024,German,da_DK,Business Man,22,A.P.J Abdul Kalam,Silicon Valley,Disha Patani,F,Married,Neo Convent,Delhi technological University
100025,German,cs_CZ,Dentist,26,Silicon Valley,Terrible Tiny Tales,Disha Patani,F,Married,Indraprastha School,Maharaja Surajmal
100026,Chinese,de_DE,Civil Engineer,28,Terrible Tiny Tales,A.P.J Abdul Kalam,Silicon Valley,M,single,Oxford School,Amity
100027,Chinese,es_LA,Business Man,38,Vidyamandir Classes,J.K Rowling,Mitacs Globalink,M,Married,Indraprastha School,Delhi technological University
100028,Hindi,da_DK,Business Man,40,Narendra Modi,Shopmania,J.K Rowling,M,single,Oxford School,MIT
100029,English,cs_CZ,Dentist,39,MS Dhoni,Mitacs Globalink,Narendra Modi,M,single,Indraprastha School,CMU
100030,Spanish,en_UD,General Physician,21,Narendra Modi,Silicon Valley,MS Dhoni,F,Married,Indraprastha School,MIT
100031,Hindi,en_US,General Physician,38,Shopmania,Narendra Modi,MS Dhoni,M,single,Neo Convent,CMU
100032,German,cy_GB,Teacher,30,Shopmania,A.P.J Abdul Kalam,MS Dhoni,M,single,Neo Convent,Delhi technological University
100033,Hindi,da_DK,Neurologist,34,J.K Rowling,Vidyamandir Classes,Mitacs Globalink,M,single,Oxford School,MIT
100034,German,ca_ES,Teacher,33,J.K Rowling,A.P.J Abdul Kalam,Mitacs Globalink,M,single,Mount Carmel,MIT
100035,German,cs_CZ,General Physician,34,A.P.J Abdul Kalam,Shopmania,MS Dhoni,F,single,Oxford School,Delhi technological University
100036,English,es_ES,Civil Engineer,32,Disha Patani,Shopmania,Vidyamandir Classes,F,single,Mount Carmel,CMU
100037,Portugese,eu_ES,Civil Engineer,27,J.K Rowling,Terrible Tiny Tales,Mitacs Globalink,F,single,Mount Carmel,Amity
100038,Chinese,cx_PH,Dentist,37,Disha Patani,Silicon Valley,A.P.J Abdul Kalam,F,single,Mount Carmel,CMU
100039,German,en_US,Mechanical Engineer,21,Narendra Modi,Terrible Tiny Tales,A.P.J Abdul Kalam,M,single,Neo Convent,Maharaja Surajmal
100040,Spanish,cs_CZ,Neurologist,29,Terrible Tiny Tales,Mitacs Globalink,Shopmania,M,single,DPS,Delhi technological University
100041,Hindi,es_ES,Civil Engineer,21,Narendra Modi,A.P.J Abdul Kalam,Mitacs Globalink,M,Married,Neo Convent,Delhi technological University
100042,English,cs_CZ,Computer Engineer,34,Shopmania,Terrible Tiny Tales,MS Dhoni,F,single,Oxford School,Amity
100043,Chinese,cx_PH,Civil Engineer,20,A.P.J Abdul Kalam,Vidyamandir Classes,J.K Rowling,F,single,Oxford School,MIT
100044,Chinese,gn_PY,Business Man,29,Silicon Valley,Vidyamandir Classes,J.K Rowling,M,Married,Indraprastha School,Maharaja Surajmal
100045,Hindi,cy_GB,General Physician,29,Shopmania,Disha Patani,Vidyamandir Classes,M,single,Indraprastha School,Maharaja Surajmal
100046,German,eu_ES,Neurologist,39,A.P.J Abdul Kalam,Silicon Valley,Vidyamandir Classes,M,single,Indraprastha School,Delhi technological University
100047,Chinese,es_ES,General Physician,26,Vidyamandir Classes,Shopmania,Silicon Valley,M,single,Indraprastha School,Delhi technological University
100048,Chinese,ca_ES,Computer Engineer,22,Vidyamandir Classes,Narendra Modi,Disha Patani,F,single,DPS,CMU
100049,Chinese,cs_CZ,Teacher,22,Silicon Valley,Shopmania,Narendra Modi,F,Married,DPS,Delhi technological University
100050,Hindi,de_DE,Teacher,21,Shopmania,Narendra Modi,Mitacs Globalink,F,single,DPS,Amity
100051,Portugese,da_DK,Civil Engineer,30,J.K Rowling,MS Dhoni,A.P.J Abdul Kalam,M,single,Mount Carmel,Maharaja Surajmal
100052,German,en_UD,General Physician,34,Silicon Valley,A.P.J Abdul Kalam,Disha Patani,F,Married,Neo Convent,Maharaja Surajmal
100053,German,gn_PY,Computer Engineer,23,Terrible Tiny Tales,A.P.J Abdul Kalam,Narendra Modi,F,Married,Mount Carmel,Delhi technological University
100054,English,cs_CZ,Civil Engineer,31,A.P.J Abdul Kalam,Shopmania,MS Dhoni,F,Married,Indraprastha School,Maharaja Surajmal
100055,German,en_UD,Computer Engineer,33,Vidyamandir Classes,Disha Patani,Shopmania,M,Married,Oxford School,Maharaja Surajmal
100056,English,en_UD,Dentist,20,Vidyamandir Classes,A.P.J Abdul Kalam,Disha Patani,M,Married,DPS,MIT
100057,Portugese,es_ES,General Physician,29,MS Dhoni,A.P.J Abdul Kalam,J.K Rowling,F,Married,Indraprastha School,Delhi technological University
100058,Portugese,cx_PH,Dentist,24,J.K Rowling,Terrible Tiny Tales,Vidyamandir Classes,F,Married,Indraprastha School,Delhi technological University
100059,Hindi,es_LA,General Physician,35,Silicon Valley,A.P.J Abdul Kalam,Mitacs Globalink,F,Married,Oxford School,MIT
100060,Chinese,eu_ES,Neurologist,40,A.P.J Abdul Kalam,Narendra Modi,MS Dhoni,F,Married,DPS,Amity
100061,Hindi,en_UD,Civil Engineer,21,MS Dhoni,Vidyamandir Classes,J.K Rowling,F,single,Indraprastha School,MIT
100062,Spanish,cy_GB,Dentist,37,Mitacs Globalink,Silicon Valley,Narendra Modi,F,Married,DPS,Maharaja Surajmal
100063,English,cy_GB,Mechanical Engineer,26,J.K Rowling,Vidyamandir Classes,Shopmania,F,single,Oxford School,Delhi technological University
100064,Portugese,en_UD,Teacher,21,Shopmania,Disha Patani,Vidyamandir Classes,F,single,Neo Convent,MIT
100065,English,es_LA,Teacher,37,Mitacs Globalink,Shopmania,Terrible Tiny Tales,F,Married,Neo Convent,Amity
100066,German,ca_ES,Mechanical Engineer,27,Terrible Tiny Tales,Silicon Valley,Mitacs Globalink,F,single,Mount Carmel,Delhi technological University
100067,Chinese,en_UD,Civil Engineer,29,Disha Patani,Vidyamandir Classes,Silicon Valley,F,single,Oxford School,Amity
100068,Hindi,es_LA,Computer Engineer,37,A.P.J Abdul Kalam,Silicon Valley,MS Dhoni,M,single,Oxford School,MIT
100069,English,cx_PH,Civil Engineer,39,MS Dhoni,Shopmania,Terrible Tiny Tales,F,single,Indraprastha School,MIT
100070,German,es_ES,Dentist,40,Terrible Tiny Tales,Narendra Modi,Disha Patani,M,single,Mount Carmel,Amity
100071,Portugese,es_LA,Business Man,33,Shopmania,Mitacs Globalink,A.P.J Abdul Kalam,F,single,Oxford School,Delhi technological University
100072,Portugese,es_LA,Mechanical Engineer,27,J.K Rowling,Mitacs Globalink,Narendra Modi,M,single,Mount Carmel,Delhi technological University
100073,German,cs_CZ,Mechanical Engineer,35,Vidyamandir Classes,Silicon Valley,Shopmania,M,Married,Indraprastha School,Delhi technological University
100074,English,cs_CZ,Computer Engineer,25,Terrible Tiny Tales,Vidyamandir Classes,MS Dhoni,M,Married,Oxford School,CMU
100075,Portugese,en_UD,Computer Engineer,37,J.K Rowling,Terrible Tiny Tales,Narendra Modi,M,Married,Mount Carmel,Delhi technological University
100076,Chinese,da_DK,Mechanical Engineer,29,Shopmania,Disha Patani,Terrible Tiny Tales,M,Married,Oxford School,CMU
100077,Hindi,cx_PH,Mechanical Engineer,35,Mitacs Globalink,Disha Patani,Terrible Tiny Tales,F,single,Neo Convent,MIT
100078,Chinese,cs_CZ,Business Man,30,J.K Rowling,Vidyamandir Classes,Shopmania,M,Married,Neo Convent,Delhi technological University
100079,German,eu_ES,Mechanical Engineer,24,J.K Rowling,Mitacs Globalink,Vidyamandir Classes,M,Married,DPS,Amity
100080,English,en_US,General Physician,29,J.K Rowling,Shopmania,Mitacs Globalink,F,Married,Indraprastha School,CMU
100081,Portugese,eu_ES,Teacher,30,Shopmania,Silicon Valley,J.K Rowling,F,single,Neo Convent,CMU
100082,German,es_ES,Dentist,28,MS Dhoni,Mitacs Globalink,Vidyamandir Classes,M,Married,DPS,Maharaja Surajmal
100083,German,en_US,Mechanical Engineer,25,Shopmania,Narendra Modi,Silicon Valley,M,single,Neo Convent,Maharaja Surajmal
100084,Chinese,es_ES,Teacher,36,MS Dhoni,Shopmania,J.K Rowling,F,Married,Mount Carmel,CMU
100085,German,cy_GB,Dentist,34,Shopmania,MS Dhoni,Disha Patani,F,single,Mount Carmel,Amity
100086,Spanish,en_UD,Computer Engineer,35,Vidyamandir Classes,Disha Patani,MS Dhoni,M,single,Mount Carmel,Delhi technological University
100087,Hindi,cx_PH,Business Man,35,Narendra Modi,Vidyamandir Classes,Mitacs Globalink,M,Married,Oxford School,Delhi technological University
100088,Spanish,eu_ES,Dentist,25,A.P.J Abdul Kalam,Vidyamandir Classes,Mitacs Globalink,M,Married,Oxford School,CMU
100089,English,en_UD,Teacher,34,Vidyamandir Classes,Narendra Modi,Disha Patani,M,single,Indraprastha School,Maharaja Surajmal
100090,German,de_DE,Neurologist,36,Terrible Tiny Tales,Silicon Valley,MS Dhoni,F,Married,Indraprastha School,MIT
100091,Spanish,es_ES,Business Man,22,Narendra Modi,Silicon Valley,Terrible Tiny Tales,F,Married,DPS,Delhi technological University
100092,Hindi,gn_PY,Civil Engineer,24,A.P.J Abdul Kalam,J.K Rowling,Vidyamandir Classes,M,single,Indraprastha School,Maharaja Surajmal
100093,Spanish,es_LA,Mechanical Engineer,20,Silicon Valley,A.P.J Abdul Kalam,Narendra Modi,M,single,Neo Convent,Amity
100094,Hindi,es_LA,Computer Engineer,32,Mitacs Globalink,J.K Rowling,Narendra Modi,F,Married,DPS,Amity
100095,Spanish,es_ES,Business Man,27,A.P.J Abdul Kalam,J.K Rowling,Narendra Modi,F,Married,Oxford School,Amity
100096,Chinese,es_LA,Business Man,26,A.P.J Abdul Kalam,Shopmania,Silicon Valley,F,single,Mount Carmel,Amity
100097,Portugese,da_DK,Business Man,22,Terrible Tiny Tales,MS Dhoni,Shopmania,M,Married,Oxford School,MIT
100098,Hindi,en_US,Dentist,33,Vidyamandir Classes,MS Dhoni,Terrible Tiny Tales,M,single,DPS,CMU
100099,Portugese,es_LA,Teacher,40,Shopmania,MS Dhoni,J.K Rowling,F,single,Neo Convent,Amity
100100,Hindi,es_ES,Computer Engineer,23,Vidyamandir Classes,Disha Patani,Mitacs Globalink,M,single,Indraprastha School,Delhi technological University
100101,Hindi,en_US,Business Man,39,Shopmania,Silicon Valley,Narendra Modi,F,single,Mount Carmel,Delhi technological University
100102,Spanish,ca_ES,Dentist,23,Narendra Modi,MS Dhoni,Vidyamandir Classes,M,single,Indraprastha School,MIT
100103,English,es_ES,Teacher,33,A.P.J Abdul Kalam,MS Dhoni,Terrible Tiny Tales,M,single,DPS,MIT
100104,German,gn_PY,Civil Engineer,31,J.K Rowling,A.P.J Abdul Kalam,Shopmania,F,Married,Oxford School,MIT
100105,English,es_ES,Teacher,24,J.K Rowling,Terrible Tiny Tales,Mitacs Globalink,F,single,Oxford School,Delhi technological University
100106,English,da_DK,General Physician,35,Mitacs Globalink,Silicon Valley,Narendra Modi,M,Married,Oxford School,Amity
100107,Hindi,en_UD,Civil Engineer,35,Mitacs Globalink,Vidyamandir Classes,A.P.J Abdul Kalam,M,Married,Neo Convent,MIT
100108,Hindi,cy_GB,General Physician,20,A.P.J Abdul Kalam,J.K Rowling,Disha Patani,F,Married,Neo Convent,Maharaja Surajmal
100109,German,cx_PH,Civil Engineer,21,Narendra Modi,Disha Patani,Vidyamandir Classes,F,single,Oxford School,Amity
100110,Portugese,en_US,Neurologist,29,A.P.J Abdul Kalam,Terrible Tiny Tales,Silicon Valley,M,Married,Indraprastha School,Delhi technological University
100111,Spanish,cx_PH,Business Man,33,Shopmania,Mitacs Globalink,Silicon Valley,F,Married,Mount Carmel,CMU
100112,Chinese,cs_CZ,Business Man,29,Shopmania,MS Dhoni,Narendra Modi,M,Married,DPS,CMU
100113,Chinese,es_LA,Dentist,40,Silicon Valley,Narendra Modi,Disha Patani,M,Married,Indraprastha School,Delhi technological University
100114,Portugese,cx_PH,Dentist,29,Vidyamandir Classes,J.K Rowling,A.P.J Abdul Kalam,F,Married,Mount Carmel,CMU
100115,Portugese,da_DK,General Physician,35,Vidyamandir Classes,Shopmania,J.K Rowling,F,Married,Oxford School,Maharaja Surajmal
100116,Chinese,en_US,Business Man,34,A.P.J Abdul Kalam,Narendra Modi,Shopmania,F,Married,Indraprastha School,Amity
100117,Portugese,eu_ES,Teacher,33,Vidyamandir Classes,Narendra Modi,Mitacs Globalink,F,single,DPS,MIT
100118,English,ca_ES,Civil Engineer,40,Terrible Tiny Tales,Disha Patani,MS Dhoni,M,single,Oxford School,Amity
100119,Portugese,gn_PY,Computer Engineer,22,A.P.J Abdul Kalam,Terrible Tiny Tales,Vidyamandir Classes,F,Married,DPS,MIT
100120,Portugese,cx_PH,Neurologist,39,Shopmania,J.K Rowling,Mitacs Globalink,M,single,DPS,CMU
100121,Portugese,gn_PY,Neurologist,20,Silicon Valley,A.P.J Abdul Kalam,Shopmania,F,single,DPS,Amity
100122,German,cx_PH,Civil Engineer,29,Mitacs Globalink,Narendra Modi,MS Dhoni,M,Married,Neo Convent,Maharaja Surajmal
100123,Hindi,cy_GB,General Physician,22,Vidyamandir Classes,Shopmania,J.K Rowling,F,single,DPS,Delhi technological University
100124,Spanish,eu_ES,Dentist,29,Vidyamandir Classes,MS Dhoni,Narendra Modi,M,Married,Oxford School,Maharaja Surajmal
100125,Spanish,da_DK,Dentist,27,Disha Patani,J.K Rowling,Mitacs Globalink,M,single,DPS,Amity
100126,Hindi,ca_ES,General Physician,36,Vidyamandir Classes,J.K Rowling,MS Dhoni,M,Married,Oxford School,Delhi technological University
100127,English,es_LA,Neurologist,25,MS Dhoni,Shopmania,Mitacs Globalink,M,single,DPS,Amity
100128,Hindi,en_UD,Teacher,29,Vidyamandir Classes,Mitacs Globalink,Shopmania,M,Married,Mount Carmel,Maharaja Surajmal
100129,German,es_LA,Computer Engineer,31,MS Dhoni,Terrible Tiny Tales,Silicon Valley,F,Married,DPS,Delhi technological University
100130,English,eu_ES,Computer Engineer,22,Mitacs Globalink,Terrible Tiny Tales,Narendra Modi,F,Married,Indraprastha School,Delhi technological University
100131,English,es_ES,Teacher,37,Silicon Valley,Mitacs Globalink,J.K Rowling,F,single,Oxford School,Delhi technological University
100132,Chinese,en_UD,Civil Engineer,31,Terrible Tiny Tales,Disha Patani,J.K Rowling,F,Married,Neo Convent,Maharaja Surajmal
100133,Spanish,gn_PY,Computer Engineer,38,A.P.J Abdul Kalam,Mitacs Globalink,Narendra Modi,F,single,Mount Carmel,Amity
100134,Spanish,cy_GB,Dentist,23,Shopmania,Mitacs Globalink,Narendra Modi,F,single,DPS,CMU
100135,English,cs_CZ,Teacher,28,MS Dhoni,J.K Rowling,Silicon Valley,F,single,Neo Convent,CMU
100136,English,cx_PH,Dentist,40,Narendra Modi,Terrible Tiny Tales,Mitacs Globalink,M,Married,Neo Convent,Maharaja Surajmal
100137,Hindi,eu_ES,Computer Engineer,23,Narendra Modi,Disha Patani,Vidyamandir Classes,M,Married,Mount Carmel,Maharaja Surajmal
100138,Chinese,cs_CZ,Dentist,29,Mitacs Globalink,J.K Rowling,A.P.J Abdul Kalam,F,Married,DPS,Amity
100139,Spanish,en_UD,General Physician,38,MS Dhoni,Narendra Modi,Terrible Tiny Tales,M,Married,DPS,Amity
100140,Portugese,de_DE,Civil Engineer,22,A.P.J Abdul Kalam,Terrible Tiny Tales,Silicon Valley,F,Married,Indraprastha School,Amity
100141,Chinese,cs_CZ,Dentist,24,A.P.J Abdul Kalam,MS Dhoni,Vidyamandir Classes,M,Married,Neo Convent,Amity
100142,Chinese,en_UD,Business Man,40,Shopmania,Silicon Valley,Mitacs Globalink,F,single,Oxford School,CMU
100143,Portugese,en_US,Civil Engineer,26,Terrible Tiny Tales,A.P.J Abdul Kalam,Mitacs Globalink,F,Married,Mount Carmel,Delhi technological University
100144,Portugese,es_LA,Teacher,21,J.K Rowling,MS Dhoni,Narendra Modi,M,Married,Oxford School,Maharaja Surajmal
100145,Portugese,da_DK,Computer Engineer,29,Shopmania,Mitacs Globalink,A.P.J Abdul Kalam,M,single,Indraprastha School,Delhi technological University
100146,English,cy_GB,Business Man,35,Disha Patani,Shopmania,Silicon Valley,M,Married,Oxford School,CMU
100147,Hindi,cs_CZ,Business Man,39,Silicon Valley,Vidyamandir Classes,Mitacs Globalink,M,single,Neo Convent,MIT
100148,Portugese,en_US,Civil Engineer,36,MS Dhoni,Terrible Tiny Tales,Silicon Valley,F,Married,Mount Carmel,CMU
100149,Hindi,cs_CZ,Mechanical Engineer,24,A.P.J Abdul Kalam,Disha Patani,Terrible Tiny Tales,F,single,Oxford School,Amity
100150,Chinese,es_ES,Computer Engineer,32,Shopmania,MS Dhoni,Terrible Tiny Tales,F,single,Oxford School,Maharaja Surajmal
100151,Spanish,es_ES,Business Man,35,Terrible Tiny Tales,J.K Rowling,Mitacs Globalink,F,single,DPS,CMU
100152,Chinese,eu_ES,Business Man,31,Mitacs Globalink,J.K Rowling,Shopmania,F,single,Neo Convent,Delhi technological University
100153,German,en_UD,Dentist,33,A.P.J Abdul Kalam,Vidyamandir Classes,Disha Patani,F,single,DPS,Maharaja Surajmal
100154,Portugese,cs_CZ,Computer Engineer,30,Shopmania,MS Dhoni,J.K Rowling,F,Married,Indraprastha School,CMU
100155,Chinese,da_DK,Computer Engineer,39,A.P.J Abdul Kalam,Mitacs Globalink,MS Dhoni,F,Married,Oxford School,Amity
100156,English,ca_ES,Dentist,34,Shopmania,J.K Rowling,MS Dhoni,F,single,Oxford School,Maharaja Surajmal
100157,German,eu_ES,General Physician,24,Disha Patani,J.K Rowling,Terrible Tiny Tales,M,single,Indraprastha School,CMU
100158,Chinese,ca_ES,General Physician,31,Terrible Tiny Tales,J.K Rowling,Narendra Modi,M,single,Indraprastha School,Delhi technological University
100159,German,cx_PH,Neurologist,32,Narendra Modi,MS Dhoni,Disha Patani,F,single,Mount Carmel,Maharaja Surajmal
100160,Chinese,de_DE,Teacher,34,A.P.J Abdul Kalam,Shopmania,Narendra Modi,F,Married,Neo Convent,Amity
100161,Spanish,cx_PH,Mechanical Engineer,30,J.K Rowling,Narendra Modi,A.P.J Abdul Kalam,F,Married,Neo Convent,CMU
100162,Portugese,es_ES,Mechanical Engineer,28,Narendra Modi,Silicon Valley,Disha Patani,M,single,DPS,CMU
100163,Portugese,cy_GB,Business Man,32,Mitacs Globalink,Shopmania,Vidyamandir Classes,M,single,Oxford School,CMU
100164,German,cs_CZ,Teacher,25,J.K Rowling,Disha Patani,Silicon Valley,F,Married,Indraprastha School,Maharaja Surajmal
100165,Chinese,en_US,Computer Engineer,20,Shopmania,A.P.J Abdul Kalam,Narendra Modi,F,single,Indraprastha School,CMU
100166,German,en_UD,Dentist,22,Disha Patani,Silicon Valley,Terrible Tiny Tales,F,single,Indraprastha School,Amity
100167,Hindi,es_ES,General Physician,35,Terrible Tiny Tales,Disha Patani,Narendra Modi,M,single,Mount Carmel,Delhi technological University
100168,German,gn_PY,Computer Engineer,20,J.K Rowling,Narendra Modi,Shopmania,F,Married,Neo Convent,Delhi technological University
100169,English,da_DK,Mechanical Engineer,35,Shopmania,Terrible Tiny Tales,MS Dhoni,F,Married,Oxford School,CMU
100170,English,eu_ES,Mechanical Engineer,28,Mitacs Globalink,Shopmania,Terrible Tiny Tales,F,single,Indraprastha School,CMU
100171,German,es_ES,Business Man,25,Shopmania,Silicon Valley,Narendra Modi,F,single,DPS,Maharaja Surajmal
100172,Spanish,es_ES,Computer Engineer,36,Terrible Tiny Tales,Mitacs Globalink,Disha Patani,F,Married,Neo Convent,MIT
100173,Hindi,da_DK,Teacher,30,J.K Rowling,Silicon Valley,Narendra Modi,F,Married,Neo Convent,MIT
100174,Hindi,eu_ES,Mechanical Engineer,33,Mitacs Globalink,Silicon Valley,Terrible Tiny Tales,F,single,Oxford School,CMU
100175,German,da_DK,Mechanical Engineer,31,Silicon Valley,Mitacs Globalink,J.K Rowling,F,Married,Oxford School,CMU
100176,Portugese,gn_PY,Dentist,36,Mitacs Globalink,A.P.J Abdul Kalam,Silicon Valley,M,single,Mount Carmel,Maharaja Surajmal
100177,Portugese,cx_PH,General Physician,40,Vidyamandir Classes,Narendra Modi,Mitacs Globalink,F,single,Oxford School,MIT
100178,Spanish,da_DK,General Physician,40,MS Dhoni,Disha Patani,Shopmania,F,Married,Neo Convent,MIT
100179,Portugese,eu_ES,Dentist,28,Disha Patani,Narendra Modi,J.K Rowling,M,single,Neo Convent,Maharaja Surajmal
100180,Hindi,cs_CZ,Dentist,32,Mitacs Globalink,J.K Rowling,Narendra Modi,M,Married,Mount Carmel,MIT
100181,Chinese,cy_GB,General Physician,22,Narendra Modi,Vidyamandir Classes,Shopmania,F,Married,Mount Carmel,CMU
100182,German,es_LA,Mechanical Engineer,24,Silicon Valley,Terrible Tiny Tales,A.P.J Abdul Kalam,M,single,Oxford School,CMU
100183,Hindi,eu_ES,Computer Engineer,25,Shopmania,Mitacs Globalink,Terrible Tiny Tales,M,single,Mount Carmel,Delhi technological University
100184,English,da_DK,Mechanical Engineer,25,Mitacs Globalink,A.P.J Abdul Kalam,Silicon Valley,M,Married,Oxford School,MIT
100185,Chinese,en_US,Mechanical Engineer,39,Vidyamandir Classes,Mitacs Globalink,A.P.J Abdul Kalam,F,Married,Neo Convent,MIT
100186,Chinese,cy_GB,General Physician,33,MS Dhoni,Terrible Tiny Tales,Vidyamandir Classes,M,Married,DPS,Delhi technological University
100187,Hindi,gn_PY,Neurologist,29,Vidyamandir Classes,Narendra Modi,Mitacs Globalink,M,single,Indraprastha School,MIT
100188,Portugese,de_DE,Business Man,22,Disha Patani,Shopmania,Silicon Valley,M,Married,Indraprastha School,MIT
100189,Chinese,es_LA,Neurologist,21,Shopmania,Disha Patani,Terrible Tiny Tales,M,single,Indraprastha School,Maharaja Surajmal
100190,Chinese,cx_PH,Civil Engineer,28,Mitacs Globalink,Disha Patani,Terrible Tiny Tales,M,single,Neo Convent,CMU
100191,English,de_DE,Mechanical Engineer,33,Vidyamandir Classes,A.P.J Abdul Kalam,J.K Rowling,F,Married,Mount Carmel,Maharaja Surajmal
100192,English,eu_ES,Mechanical Engineer,39,J.K Rowling,Silicon Valley,Mitacs Globalink,M,single,Indraprastha School,CMU
100193,English,en_US,Dentist,31,Disha Patani,Silicon Valley,Shopmania,F,Married,Oxford School,Amity
100194,German,es_ES,Dentist,26,Silicon Valley,Mitacs Globalink,A.P.J Abdul Kalam,M,single,Indraprastha School,Maharaja Surajmal
100195,Spanish,en_UD,Teacher,39,Disha Patani,Mitacs Globalink,A.P.J Abdul Kalam,M,Married,DPS,CMU
100196,German,cy_GB,Teacher,34,Disha Patani,Silicon Valley,J.K Rowling,F,single,Neo Convent,Delhi technological University
100197,English,da_DK,Dentist,33,Shopmania,A.P.J Abdul Kalam,Vidyamandir Classes,M,single,Oxford School,Amity
100198,Hindi,es_LA,Mechanical Engineer,37,MS Dhoni,Disha Patani,Mitacs Globalink,F,Married,Mount Carmel,CMU
100199,German,cx_PH,General Physician,36,A.P.J Abdul Kalam,Disha Patani,Narendra Modi,M,Married,Indraprastha School,Amity
100200,Portugese,cy_GB,Civil Engineer,31,J.K Rowling,Disha Patani,A.P.J Abdul Kalam,M,Married,Oxford School,Maharaja Surajmal
100201,English,cx_PH,Computer Engineer,20,Silicon Valley,Mitacs Globalink,J.K Rowling,M,single,DPS,Amity
100202,Portugese,es_LA,Teacher,34,MS Dhoni,J.K Rowling,Silicon Valley,F,single,Indraprastha School,Delhi technological University
100203,Spanish,es_ES,Neurologist,32,Mitacs Globalink,J.K Rowling,Shopmania,M,single,DPS,Amity
100204,Hindi,cy_GB,Teacher,35,MS Dhoni,A.P.J Abdul Kalam,J.K Rowling,M,Married,Neo Convent,MIT
100205,Chinese,gn_PY,General Physician,34,Shopmania,Narendra Modi,Mitacs Globalink,F,Married,Oxford School,Maharaja Surajmal
100206,Portugese,eu_ES,Neurologist,27,A.P.J Abdul Kalam,Shopmania,Disha Patani,M,Married,Mount Carmel,MIT
100207,English,es_ES,Teacher,36,MS Dhoni,Disha Patani,A.P.J Abdul Kalam,F,single,DPS,Delhi technological University
100208,Chinese,en_UD,Dentist,31,A.P.J Abdul Kalam,Terrible Tiny Tales,Vidyamandir Classes,F,single,Indraprastha School,Maharaja Surajmal
100209,Hindi,en_UD,Dentist,20,J.K Rowling,A.P.J Abdul Kalam,Vidyamandir Classes,F,Married,DPS,Delhi technological University
